UKPRN,HE Provider,student_from,n_students,academic_year
10007783,The University of Aberdeen,Oxfordshire,20,14/15
10007783,The University of Aberdeen,Peterborough,5,14/15
10007783,The University of Aberdeen,Poole,0,14/15
10007783,The University of Aberdeen,Reading,5,14/15
10007783,The University of Aberdeen,Redcar and Cleveland,5,14/15
10007783,The University of Aberdeen,Rutland,0,14/15
10007783,The University of Aberdeen,Shropshire,5,14/15
10007783,The University of Aberdeen,Slough,5,14/15
10007783,The University of Aberdeen,Somerset,15,14/15
10007783,The University of Aberdeen,South Gloucestershire,0,14/15
10007783,The University of Aberdeen,South Yorkshire,25,14/15
10007783,The University of Aberdeen,Southend-on-Sea,0,14/15
10007783,The University of Aberdeen,Staffordshire,15,14/15
10007783,The University of Aberdeen,Stockton-on-Tees,15,14/15
10007783,The University of Aberdeen,Suffolk,20,14/15
10007783,The University of Aberdeen,Surrey,30,14/15
10007783,The University of Aberdeen,Swindon,5,14/15
10007783,The University of Aberdeen,Telford and Wrekin,5,14/15
10007783,The University of Aberdeen,Thurrock,0,14/15
10007783,The University of Aberdeen,Torbay,0,14/15
10007783,The University of Aberdeen,Tyne and Wear,70,14/15
10007783,The University of Aberdeen,Warrington,10,14/15
10007783,The University of Aberdeen,Warwickshire,15,14/15
10007783,The University of Aberdeen,West Berkshire,5,14/15
10007783,The University of Aberdeen,West Midlands,55,14/15
10007783,The University of Aberdeen,West Sussex,20,14/15
10007783,The University of Aberdeen,West Yorkshire,55,14/15
10007783,The University of Aberdeen,Wiltshire,20,14/15
10007783,The University of Aberdeen,Windsor and Maidenhead,0,14/15
10007783,The University of Aberdeen,Wokingham,5,14/15
10007783,The University of Aberdeen,Worcestershire,5,14/15
10007783,The University of Aberdeen,England (county unitary authority unknown),5,14/15
10007783,The University of Aberdeen,Total England,1485,14/15
10007783,The University of Aberdeen,Total,10065,14/15
10019746,ABI College Limited,Bath and North East Somerset,0,14/15
10019746,ABI College Limited,Bedford,0,14/15
10019746,ABI College Limited,Blackburn with Darwen,0,14/15
10019746,ABI College Limited,Blackpool,0,14/15
10019746,ABI College Limited,Bournemouth,0,14/15
10019746,ABI College Limited,Bracknell Forest,0,14/15
10019746,ABI College Limited,Brighton and Hove,0,14/15
10019746,ABI College Limited,Buckinghamshire,0,14/15
10019746,ABI College Limited,Cambridgeshire,0,14/15
10019746,ABI College Limited,Central Bedfordshire,0,14/15
10019746,ABI College Limited,Cheshire East,0,14/15
10019746,ABI College Limited,Cheshire West and Chester,0,14/15
10019746,ABI College Limited,City of Bristol,0,14/15
10019746,ABI College Limited,City of Derby,0,14/15
10019746,ABI College Limited,City of Kingston upon Hull,0,14/15
10019746,ABI College Limited,City of Leicester,0,14/15
10019746,ABI College Limited,City of Nottingham,0,14/15
10019746,ABI College Limited,City of Plymouth,0,14/15
10019746,ABI College Limited,City of Portsmouth,0,14/15
10019746,ABI College Limited,City of Southampton,0,14/15
10019746,ABI College Limited,City of Stoke-on-Trent,0,14/15
10019746,ABI College Limited,City of York,0,14/15
10019746,ABI College Limited,Cornwall,0,14/15
10019746,ABI College Limited,County Durham,0,14/15
10019746,ABI College Limited,Cumbria,0,14/15
10019746,ABI College Limited,Darlington,0,14/15
10019746,ABI College Limited,Derbyshire,0,14/15
10019746,ABI College Limited,Devon,0,14/15
10019746,ABI College Limited,Dorset,0,14/15
10019746,ABI College Limited,East Riding of Yorkshire,0,14/15
10019746,ABI College Limited,East Sussex,0,14/15
10019746,ABI College Limited,Essex,0,14/15
10019746,ABI College Limited,Gloucestershire,0,14/15
10019746,ABI College Limited,Greater London,90,14/15
10019746,ABI College Limited,Greater Manchester,0,14/15
10019746,ABI College Limited,Halton,0,14/15
10019746,ABI College Limited,Hampshire,0,14/15
10019746,ABI College Limited,Hartlepool,0,14/15
10019746,ABI College Limited,Herefordshire,0,14/15
10019746,ABI College Limited,Hertfordshire,5,14/15
10019746,ABI College Limited,Isle of Wight,0,14/15
10019746,ABI College Limited,Isles of Scilly,0,14/15
10019746,ABI College Limited,Kent,0,14/15
10019746,ABI College Limited,Lancashire,0,14/15
10019746,ABI College Limited,Leicestershire,0,14/15
10019746,ABI College Limited,Lincolnshire,0,14/15
10019746,ABI College Limited,Luton,0,14/15
10019746,ABI College Limited,Medway,0,14/15
10019746,ABI College Limited,Merseyside,0,14/15
10019746,ABI College Limited,Middlesbrough,0,14/15
10019746,ABI College Limited,Milton Keynes,0,14/15
10019746,ABI College Limited,Norfolk,0,14/15
10019746,ABI College Limited,North East Lincolnshire,0,14/15
10019746,ABI College Limited,North Lincolnshire,0,14/15
10019746,ABI College Limited,North Somerset,0,14/15
10019746,ABI College Limited,North Yorkshire,0,14/15
10019746,ABI College Limited,Northamptonshire,0,14/15
10019746,ABI College Limited,Northumberland,0,14/15
10019746,ABI College Limited,Nottinghamshire,0,14/15
10019746,ABI College Limited,Oxfordshire,0,14/15
10019746,ABI College Limited,Peterborough,0,14/15
10019746,ABI College Limited,Poole,0,14/15
10019746,ABI College Limited,Reading,15,14/15
10019746,ABI College Limited,Redcar and Cleveland,0,14/15
10019746,ABI College Limited,Rutland,0,14/15
10019746,ABI College Limited,Shropshire,0,14/15
10019746,ABI College Limited,Slough,0,14/15
10019746,ABI College Limited,Somerset,0,14/15
10019746,ABI College Limited,South Gloucestershire,0,14/15
10019746,ABI College Limited,South Yorkshire,0,14/15
10019746,ABI College Limited,Southend-on-Sea,0,14/15
10019746,ABI College Limited,Staffordshire,0,14/15
10019746,ABI College Limited,Stockton-on-Tees,0,14/15
10019746,ABI College Limited,Suffolk,0,14/15
10019746,ABI College Limited,Surrey,0,14/15
10019746,ABI College Limited,Swindon,0,14/15
10019746,ABI College Limited,Telford and Wrekin,0,14/15
10019746,ABI College Limited,Thurrock,0,14/15
10019746,ABI College Limited,Torbay,0,14/15
10019746,ABI College Limited,Tyne and Wear,0,14/15
10019746,ABI College Limited,Warrington,0,14/15
10019746,ABI College Limited,Warwickshire,0,14/15
10019746,ABI College Limited,West Berkshire,0,14/15
10019746,ABI College Limited,West Midlands,0,14/15
10019746,ABI College Limited,West Sussex,0,14/15
10019746,ABI College Limited,West Yorkshire,0,14/15
10019746,ABI College Limited,Wiltshire,0,14/15
10019746,ABI College Limited,Windsor and Maidenhead,0,14/15
10019746,ABI College Limited,Wokingham,0,14/15
10019746,ABI College Limited,Worcestershire,0,14/15
10019746,ABI College Limited,England (county unitary authority unknown),0,14/15
10019746,ABI College Limited,Total England,110,14/15
10019746,ABI College Limited,Total,110,14/15
10007849,Abertay University,Bath and North East Somerset,0,14/15
10007849,Abertay University,Bedford,0,14/15
10007849,Abertay University,Blackburn with Darwen,0,14/15
10007849,Abertay University,Blackpool,0,14/15
10007849,Abertay University,Bournemouth,0,14/15
10007849,Abertay University,Bracknell Forest,0,14/15
10007849,Abertay University,Brighton and Hove,0,14/15
10007849,Abertay University,Buckinghamshire,0,14/15
10007849,Abertay University,Cambridgeshire,5,14/15
10007849,Abertay University,Central Bedfordshire,0,14/15
10007849,Abertay University,Cheshire East,0,14/15
10007849,Abertay University,Cheshire West and Chester,0,14/15
10007849,Abertay University,City of Bristol,0,14/15
10007849,Abertay University,City of Derby,0,14/15
10007849,Abertay University,City of Kingston upon Hull,0,14/15
10007849,Abertay University,City of Leicester,0,14/15
10007849,Abertay University,City of Nottingham,0,14/15
10007849,Abertay University,City of Plymouth,0,14/15
10007849,Abertay University,City of Portsmouth,5,14/15
10007849,Abertay University,City of Southampton,0,14/15
10007849,Abertay University,City of Stoke-on-Trent,0,14/15
10007849,Abertay University,City of York,0,14/15
10007849,Abertay University,Cornwall,0,14/15
10007849,Abertay University,County Durham,5,14/15
10007849,Abertay University,Cumbria,5,14/15
10007849,Abertay University,Darlington,0,14/15
10007849,Abertay University,Derbyshire,5,14/15
10007849,Abertay University,Devon,5,14/15
10007849,Abertay University,Dorset,0,14/15
10007849,Abertay University,East Riding of Yorkshire,0,14/15
10007849,Abertay University,East Sussex,0,14/15
10007849,Abertay University,Essex,5,14/15
10007849,Abertay University,Gloucestershire,5,14/15
10007849,Abertay University,Greater London,20,14/15
10007849,Abertay University,Greater Manchester,5,14/15
10007849,Abertay University,Halton,0,14/15
10007849,Abertay University,Hampshire,5,14/15
10007849,Abertay University,Hartlepool,0,14/15
10007849,Abertay University,Herefordshire,0,14/15
10007849,Abertay University,Hertfordshire,5,14/15
10007849,Abertay University,Isle of Wight,0,14/15
10007849,Abertay University,Isles of Scilly,0,14/15
10007849,Abertay University,Kent,5,14/15
10007849,Abertay University,Lancashire,10,14/15
10007849,Abertay University,Leicestershire,5,14/15
10007849,Abertay University,Lincolnshire,5,14/15
10007849,Abertay University,Luton,0,14/15
10007849,Abertay University,Medway,0,14/15
10007849,Abertay University,Merseyside,5,14/15
10007849,Abertay University,Middlesbrough,0,14/15
10007849,Abertay University,Milton Keynes,5,14/15
10007849,Abertay University,Norfolk,5,14/15
10007849,Abertay University,North East Lincolnshire,0,14/15
10007849,Abertay University,North Lincolnshire,0,14/15
10007849,Abertay University,North Somerset,0,14/15
10007849,Abertay University,North Yorkshire,5,14/15
10007849,Abertay University,Northamptonshire,0,14/15
10007849,Abertay University,Northumberland,0,14/15
10007849,Abertay University,Nottinghamshire,5,14/15
10007849,Abertay University,Oxfordshire,0,14/15
10007849,Abertay University,Peterborough,0,14/15
10007849,Abertay University,Poole,0,14/15
10007849,Abertay University,Reading,0,14/15
10007849,Abertay University,Redcar and Cleveland,0,14/15
10007849,Abertay University,Rutland,0,14/15
10007849,Abertay University,Shropshire,0,14/15
10007849,Abertay University,Slough,0,14/15
10007849,Abertay University,Somerset,5,14/15
10007849,Abertay University,South Gloucestershire,0,14/15
10007849,Abertay University,South Yorkshire,5,14/15
10007849,Abertay University,Southend-on-Sea,0,14/15
10007849,Abertay University,Staffordshire,0,14/15
10007849,Abertay University,Stockton-on-Tees,0,14/15
10007849,Abertay University,Suffolk,0,14/15
10007849,Abertay University,Surrey,5,14/15
10007849,Abertay University,Swindon,0,14/15
10007849,Abertay University,Telford and Wrekin,0,14/15
10007849,Abertay University,Thurrock,0,14/15
10007849,Abertay University,Torbay,0,14/15
10007849,Abertay University,Tyne and Wear,10,14/15
10007849,Abertay University,Warrington,0,14/15
10007849,Abertay University,Warwickshire,5,14/15
10007849,Abertay University,West Berkshire,0,14/15
10007849,Abertay University,West Midlands,0,14/15
10007849,Abertay University,West Sussex,5,14/15
10007849,Abertay University,West Yorkshire,15,14/15
10007849,Abertay University,Wiltshire,0,14/15
10007849,Abertay University,Windsor and Maidenhead,0,14/15
10007849,Abertay University,Wokingham,0,14/15
10007849,Abertay University,Worcestershire,0,14/15
10007849,Abertay University,England (county unitary authority unknown),5,14/15
10007849,Abertay University,Total England,195,14/15
10007849,Abertay University,Total,3750,14/15
10007856,Aberystwyth University,Bath and North East Somerset,20,14/15
10007856,Aberystwyth University,Bedford,10,14/15
10007856,Aberystwyth University,Blackburn with Darwen,5,14/15
10007856,Aberystwyth University,Blackpool,5,14/15
10007856,Aberystwyth University,Bournemouth,5,14/15
10007856,Aberystwyth University,Bracknell Forest,10,14/15
10007856,Aberystwyth University,Brighton and Hove,15,14/15
10007856,Aberystwyth University,Buckinghamshire,55,14/15
10007856,Aberystwyth University,Cambridgeshire,75,14/15
10007856,Aberystwyth University,Central Bedfordshire,30,14/15
10007856,Aberystwyth University,Cheshire East,55,14/15
10007856,Aberystwyth University,Cheshire West and Chester,70,14/15
10007856,Aberystwyth University,City of Bristol,35,14/15
10007856,Aberystwyth University,City of Derby,10,14/15
10007856,Aberystwyth University,City of Kingston upon Hull,5,14/15
10007856,Aberystwyth University,City of Leicester,15,14/15
10007856,Aberystwyth University,City of Nottingham,10,14/15
10007856,Aberystwyth University,City of Plymouth,20,14/15
10007856,Aberystwyth University,City of Portsmouth,15,14/15
10007856,Aberystwyth University,City of Southampton,5,14/15
10007856,Aberystwyth University,City of Stoke-on-Trent,25,14/15
10007856,Aberystwyth University,City of York,15,14/15
10007856,Aberystwyth University,Cornwall,40,14/15
10007856,Aberystwyth University,County Durham,10,14/15
10007856,Aberystwyth University,Cumbria,35,14/15
10007856,Aberystwyth University,Darlington,0,14/15
10007856,Aberystwyth University,Derbyshire,65,14/15
10007856,Aberystwyth University,Devon,110,14/15
10007856,Aberystwyth University,Dorset,60,14/15
10007856,Aberystwyth University,East Riding of Yorkshire,20,14/15
10007856,Aberystwyth University,East Sussex,30,14/15
10007856,Aberystwyth University,Essex,110,14/15
10007856,Aberystwyth University,Gloucestershire,95,14/15
10007856,Aberystwyth University,Greater London,325,14/15
10007856,Aberystwyth University,Greater Manchester,155,14/15
10007856,Aberystwyth University,Halton,5,14/15
10007856,Aberystwyth University,Hampshire,105,14/15
10007856,Aberystwyth University,Hartlepool,5,14/15
10007856,Aberystwyth University,Herefordshire,90,14/15
10007856,Aberystwyth University,Hertfordshire,90,14/15
10007856,Aberystwyth University,Isle of Wight,10,14/15
10007856,Aberystwyth University,Isles of Scilly,0,14/15
10007856,Aberystwyth University,Kent,110,14/15
10007856,Aberystwyth University,Lancashire,95,14/15
10007856,Aberystwyth University,Leicestershire,80,14/15
10007856,Aberystwyth University,Lincolnshire,65,14/15
10007856,Aberystwyth University,Luton,10,14/15
10007856,Aberystwyth University,Medway,10,14/15
10007856,Aberystwyth University,Merseyside,120,14/15
10007856,Aberystwyth University,Middlesbrough,0,14/15
10007856,Aberystwyth University,Milton Keynes,30,14/15
10007856,Aberystwyth University,Norfolk,60,14/15
10007856,Aberystwyth University,North East Lincolnshire,5,14/15
10007856,Aberystwyth University,North Lincolnshire,5,14/15
10007856,Aberystwyth University,North Somerset,15,14/15
10007856,Aberystwyth University,North Yorkshire,40,14/15
10007856,Aberystwyth University,Northamptonshire,80,14/15
10007856,Aberystwyth University,Northumberland,5,14/15
10007856,Aberystwyth University,Nottinghamshire,55,14/15
10007856,Aberystwyth University,Oxfordshire,105,14/15
10007856,Aberystwyth University,Peterborough,10,14/15
10007856,Aberystwyth University,Poole,15,14/15
10007856,Aberystwyth University,Reading,10,14/15
10007856,Aberystwyth University,Redcar and Cleveland,0,14/15
10007856,Aberystwyth University,Rutland,5,14/15
10007856,Aberystwyth University,Shropshire,250,14/15
10007856,Aberystwyth University,Slough,10,14/15
10007856,Aberystwyth University,Somerset,55,14/15
10007856,Aberystwyth University,South Gloucestershire,25,14/15
10007856,Aberystwyth University,South Yorkshire,30,14/15
10007856,Aberystwyth University,Southend-on-Sea,15,14/15
10007856,Aberystwyth University,Staffordshire,190,14/15
10007856,Aberystwyth University,Stockton-on-Tees,5,14/15
10007856,Aberystwyth University,Suffolk,55,14/15
10007856,Aberystwyth University,Surrey,110,14/15
10007856,Aberystwyth University,Swindon,25,14/15
10007856,Aberystwyth University,Telford and Wrekin,90,14/15
10007856,Aberystwyth University,Thurrock,5,14/15
10007856,Aberystwyth University,Torbay,5,14/15
10007856,Aberystwyth University,Tyne and Wear,20,14/15
10007856,Aberystwyth University,Warrington,15,14/15
10007856,Aberystwyth University,Warwickshire,105,14/15
10007856,Aberystwyth University,West Berkshire,20,14/15
10007856,Aberystwyth University,West Midlands,500,14/15
10007856,Aberystwyth University,West Sussex,55,14/15
10007856,Aberystwyth University,West Yorkshire,90,14/15
10007856,Aberystwyth University,Wiltshire,70,14/15
10007856,Aberystwyth University,Windsor and Maidenhead,15,14/15
10007856,Aberystwyth University,Wokingham,25,14/15
10007856,Aberystwyth University,Worcestershire,180,14/15
10007856,Aberystwyth University,England (county unitary authority unknown),0,14/15
10007856,Aberystwyth University,Total England,4765,14/15
10007856,Aberystwyth University,Total,8460,14/15
10000080,Access to Music Limited,Bath and North East Somerset,0,14/15
10000080,Access to Music Limited,Bedford,0,14/15
10000080,Access to Music Limited,Blackburn with Darwen,0,14/15
10000080,Access to Music Limited,Blackpool,0,14/15
10000080,Access to Music Limited,Bournemouth,0,14/15
10000080,Access to Music Limited,Bracknell Forest,0,14/15
10000080,Access to Music Limited,Brighton and Hove,0,14/15
10000080,Access to Music Limited,Buckinghamshire,0,14/15
10000080,Access to Music Limited,Cambridgeshire,0,14/15
10000080,Access to Music Limited,Central Bedfordshire,0,14/15
10000080,Access to Music Limited,Cheshire East,0,14/15
10000080,Access to Music Limited,Cheshire West and Chester,0,14/15
10000080,Access to Music Limited,City of Bristol,0,14/15
10000080,Access to Music Limited,City of Derby,0,14/15
10000080,Access to Music Limited,City of Kingston upon Hull,0,14/15
10000080,Access to Music Limited,City of Leicester,0,14/15
10000080,Access to Music Limited,City of Nottingham,0,14/15
10000080,Access to Music Limited,City of Plymouth,0,14/15
10000080,Access to Music Limited,City of Portsmouth,0,14/15
10000080,Access to Music Limited,City of Southampton,0,14/15
10000080,Access to Music Limited,City of Stoke-on-Trent,0,14/15
10000080,Access to Music Limited,City of York,0,14/15
10000080,Access to Music Limited,Cornwall,0,14/15
10000080,Access to Music Limited,County Durham,0,14/15
10000080,Access to Music Limited,Cumbria,0,14/15
10000080,Access to Music Limited,Darlington,0,14/15
10000080,Access to Music Limited,Derbyshire,0,14/15
10000080,Access to Music Limited,Devon,0,14/15
10000080,Access to Music Limited,Dorset,0,14/15
10000080,Access to Music Limited,East Riding of Yorkshire,0,14/15
10000080,Access to Music Limited,East Sussex,0,14/15
10000080,Access to Music Limited,Essex,0,14/15
10000080,Access to Music Limited,Gloucestershire,0,14/15
10000080,Access to Music Limited,Greater London,5,14/15
10000080,Access to Music Limited,Greater Manchester,0,14/15
10000080,Access to Music Limited,Halton,0,14/15
10000080,Access to Music Limited,Hampshire,0,14/15
10000080,Access to Music Limited,Hartlepool,0,14/15
10000080,Access to Music Limited,Herefordshire,0,14/15
10000080,Access to Music Limited,Hertfordshire,0,14/15
10000080,Access to Music Limited,Isle of Wight,0,14/15
10000080,Access to Music Limited,Isles of Scilly,0,14/15
10000080,Access to Music Limited,Kent,0,14/15
10000080,Access to Music Limited,Lancashire,0,14/15
10000080,Access to Music Limited,Leicestershire,0,14/15
10000080,Access to Music Limited,Lincolnshire,0,14/15
10000080,Access to Music Limited,Luton,0,14/15
10000080,Access to Music Limited,Medway,0,14/15
10000080,Access to Music Limited,Merseyside,0,14/15
10000080,Access to Music Limited,Middlesbrough,0,14/15
10000080,Access to Music Limited,Milton Keynes,0,14/15
10000080,Access to Music Limited,Norfolk,0,14/15
10000080,Access to Music Limited,North East Lincolnshire,0,14/15
10000080,Access to Music Limited,North Lincolnshire,0,14/15
10000080,Access to Music Limited,North Somerset,0,14/15
10000080,Access to Music Limited,North Yorkshire,0,14/15
10000080,Access to Music Limited,Northamptonshire,0,14/15
10000080,Access to Music Limited,Northumberland,0,14/15
10000080,Access to Music Limited,Nottinghamshire,0,14/15
10000080,Access to Music Limited,Oxfordshire,0,14/15
10000080,Access to Music Limited,Peterborough,0,14/15
10000080,Access to Music Limited,Poole,0,14/15
10000080,Access to Music Limited,Reading,0,14/15
10000080,Access to Music Limited,Redcar and Cleveland,0,14/15
10000080,Access to Music Limited,Rutland,0,14/15
10000080,Access to Music Limited,Shropshire,0,14/15
10000080,Access to Music Limited,Slough,0,14/15
10000080,Access to Music Limited,Somerset,0,14/15
10000080,Access to Music Limited,South Gloucestershire,0,14/15
10000080,Access to Music Limited,South Yorkshire,0,14/15
10000080,Access to Music Limited,Southend-on-Sea,0,14/15
10000080,Access to Music Limited,Staffordshire,0,14/15
10000080,Access to Music Limited,Stockton-on-Tees,0,14/15
10000080,Access to Music Limited,Suffolk,0,14/15
10000080,Access to Music Limited,Surrey,0,14/15
10000080,Access to Music Limited,Swindon,0,14/15
10000080,Access to Music Limited,Telford and Wrekin,0,14/15
10000080,Access to Music Limited,Thurrock,0,14/15
10000080,Access to Music Limited,Torbay,0,14/15
10000080,Access to Music Limited,Tyne and Wear,0,14/15
10000080,Access to Music Limited,Warrington,0,14/15
10000080,Access to Music Limited,Warwickshire,0,14/15
10000080,Access to Music Limited,West Berkshire,0,14/15
10000080,Access to Music Limited,West Midlands,35,14/15
10000080,Access to Music Limited,West Sussex,0,14/15
10000080,Access to Music Limited,West Yorkshire,0,14/15
10000080,Access to Music Limited,Wiltshire,0,14/15
10000080,Access to Music Limited,Windsor and Maidenhead,0,14/15
10000080,Access to Music Limited,Wokingham,0,14/15
10000080,Access to Music Limited,Worcestershire,5,14/15
10000080,Access to Music Limited,England (county unitary authority unknown),0,14/15
10000080,Access to Music Limited,Total England,65,14/15
10000080,Access to Music Limited,Total,65,14/15
10000248,Academy of Live and Recorded Arts,Bath and North East Somerset,0,14/15
10000248,Academy of Live and Recorded Arts,Bedford,0,14/15
10000248,Academy of Live and Recorded Arts,Blackburn with Darwen,0,14/15
10000248,Academy of Live and Recorded Arts,Blackpool,5,14/15
10000248,Academy of Live and Recorded Arts,Bournemouth,0,14/15
10000248,Academy of Live and Recorded Arts,Bracknell Forest,0,14/15
10000248,Academy of Live and Recorded Arts,Brighton and Hove,0,14/15
10000248,Academy of Live and Recorded Arts,Buckinghamshire,0,14/15
10000248,Academy of Live and Recorded Arts,Cambridgeshire,0,14/15
10000248,Academy of Live and Recorded Arts,Central Bedfordshire,0,14/15
10000248,Academy of Live and Recorded Arts,Cheshire East,0,14/15
10000248,Academy of Live and Recorded Arts,Cheshire West and Chester,0,14/15
10000248,Academy of Live and Recorded Arts,City of Bristol,5,14/15
10000248,Academy of Live and Recorded Arts,City of Derby,0,14/15
10000248,Academy of Live and Recorded Arts,City of Kingston upon Hull,0,14/15
10000248,Academy of Live and Recorded Arts,City of Leicester,0,14/15
10000248,Academy of Live and Recorded Arts,City of Nottingham,0,14/15
10000248,Academy of Live and Recorded Arts,City of Plymouth,0,14/15
10000248,Academy of Live and Recorded Arts,City of Portsmouth,0,14/15
10000248,Academy of Live and Recorded Arts,City of Southampton,0,14/15
10000248,Academy of Live and Recorded Arts,City of Stoke-on-Trent,0,14/15
10000248,Academy of Live and Recorded Arts,City of York,5,14/15
10000248,Academy of Live and Recorded Arts,Cornwall,5,14/15
10000248,Academy of Live and Recorded Arts,County Durham,0,14/15
10000248,Academy of Live and Recorded Arts,Cumbria,5,14/15
10000248,Academy of Live and Recorded Arts,Darlington,0,14/15
10000248,Academy of Live and Recorded Arts,Derbyshire,0,14/15
10000248,Academy of Live and Recorded Arts,Devon,5,14/15
10000248,Academy of Live and Recorded Arts,Dorset,0,14/15
10000248,Academy of Live and Recorded Arts,East Riding of Yorkshire,0,14/15
10000248,Academy of Live and Recorded Arts,East Sussex,5,14/15
10000248,Academy of Live and Recorded Arts,Essex,0,14/15
10000248,Academy of Live and Recorded Arts,Gloucestershire,0,14/15
10000248,Academy of Live and Recorded Arts,Greater London,25,14/15
10000248,Academy of Live and Recorded Arts,Greater Manchester,25,14/15
10000248,Academy of Live and Recorded Arts,Halton,0,14/15
10000248,Academy of Live and Recorded Arts,Hampshire,5,14/15
10000248,Academy of Live and Recorded Arts,Hartlepool,0,14/15
10000248,Academy of Live and Recorded Arts,Herefordshire,0,14/15
10000248,Academy of Live and Recorded Arts,Hertfordshire,0,14/15
10000248,Academy of Live and Recorded Arts,Isle of Wight,0,14/15
10000248,Academy of Live and Recorded Arts,Isles of Scilly,0,14/15
10000248,Academy of Live and Recorded Arts,Kent,5,14/15
10000248,Academy of Live and Recorded Arts,Lancashire,10,14/15
10000248,Academy of Live and Recorded Arts,Leicestershire,0,14/15
10000248,Academy of Live and Recorded Arts,Lincolnshire,0,14/15
10000248,Academy of Live and Recorded Arts,Luton,0,14/15
10000248,Academy of Live and Recorded Arts,Medway,0,14/15
10000248,Academy of Live and Recorded Arts,Merseyside,5,14/15
10000248,Academy of Live and Recorded Arts,Middlesbrough,0,14/15
10000248,Academy of Live and Recorded Arts,Milton Keynes,0,14/15
10000248,Academy of Live and Recorded Arts,Norfolk,0,14/15
10000248,Academy of Live and Recorded Arts,North East Lincolnshire,0,14/15
10000248,Academy of Live and Recorded Arts,North Lincolnshire,0,14/15
10000248,Academy of Live and Recorded Arts,North Somerset,0,14/15
10000248,Academy of Live and Recorded Arts,North Yorkshire,5,14/15
10000248,Academy of Live and Recorded Arts,Northamptonshire,5,14/15
10000248,Academy of Live and Recorded Arts,Northumberland,0,14/15
10000248,Academy of Live and Recorded Arts,Nottinghamshire,0,14/15
10000248,Academy of Live and Recorded Arts,Oxfordshire,0,14/15
10000248,Academy of Live and Recorded Arts,Peterborough,0,14/15
10000248,Academy of Live and Recorded Arts,Poole,0,14/15
10000248,Academy of Live and Recorded Arts,Reading,0,14/15
